,locus_tag,Hydra_tpm,Hydra.1_tpm,Hydra.2_tpm,Hydra.3_tpm,Hydra.4_tpm,Liquid_tpm,Liquid.1_tpm,Liquid.2_tpm,Liquid.3_tpm,Liquid.4_tpm
3493,AEP_RS18400,148.70837995935358,62.237502483668585,60.303898768032546,61.29379064678629,101.89476971907098,80.41637029215747,65.63770394871275,78.9392548528239,114.78954834143799,124.06587181204503
3494,AEP_RS18405,302.6345978120178,112.49299271632619,88.75555025445391,99.70852785962676,72.90168557203268,113.83271941108255,107.56921286466674,122.7021561642127,173.2691321431825,220.0706406439082
3495,AEP_RS18410,832.7669277723802,341.97869785763163,620.2686730426204,267.1118876607319,366.8211709886555,348.20065576475673,297.2209876241711,377.72728731071936,428.46308762141166,459.5554060543003
3496,AEP_RS18415,392.04936534738675,217.62280772758373,183.96604961832267,153.08784075417438,105.77371833905832,85.7306145359419,82.9727898633728,201.78097626763994,189.93605628128242,202.45143509344
3497,AEP_RS18420,240.54024806174328,156.68346714592684,71.66450804078086,60.381259899056836,92.71003201033001,92.93193393381314,49.1964280183579,50.56061979112972,83.97164600337545,93.6988992892527
3498,AEP_RS18425,153.4712818085856,121.70060421979774,64.01349294745906,89.89143674177501,70.98185470643467,58.92660728554413,48.807523449042826,48.2710520529546,68.19981069545571,77.02944814810105
3499,AEP_RS18430,246.4310296469288,183.20287385230264,80.3026407064107,78.1841472423105,136.53444254990694,207.22888109379295,136.6610656573199,96.88689733485886,156.59215102868308,176.04129850609485
3500,AEP_RS18435,116.55521672489877,61.61778339777146,121.53913187997294,91.02520261059018,74.87200139830384,60.96881774909187,54.96342730748066,74.75473480552687,89.97018653788383,101.56379002259942
3501,AEP_RS18440,230.00229433713358,113.9928992858772,59.959305060786654,89.81153324244899,88.64844965559176,51.473605307893095,45.87907204210024,69.53347530951234,77.24512148059198,82.78855154703706
3502,AEP_RS18445,549.7307584431489,435.92888957676115,523.820302454125,303.48402716541824,226.4919180760998,124.9187323306872,128.50860020209515,184.62712953670658,245.11481771758756,222.9939038078612
3503,AEP_RS18450,228.98458507015508,196.71341027208896,79.59199786830087,134.12120561648908,102.96556652474703,103.31491842638741,92.00002207651434,140.04300794714115,143.2273638915317,126.16587241990493
3504,AEP_RS18460,212.09227961416005,126.13968363601167,110.58068556292619,124.22701831691201,108.99399547818656,84.06525259522833,85.21313520201738,119.18339767781633,94.67200681071772,93.25938126463556
3505,AEP_RS18465,198.2778399458048,353.77106674927404,671.9577291295055,387.1186777691766,152.84215457860645,134.45795320871534,186.8150035463363,412.2164580095092,243.95421507554227,223.67741002642936
3506,AEP_RS18475,395.04210859431333,280.63137419614804,308.95061767962585,321.36760463662563,348.9263881959122,404.9410019335883,432.37504551613887,302.78556164560337,399.8438858173863,372.8291630076811
3507,AEP_RS18485,340.4639225385201,449.97197086530474,355.02220101781563,553.9362658868152,371.79859641736675,895.0556566597215,658.2593623061697,949.1670923115959,767.1273029244254,832.5105742160151
3508,AEP_RS18490,751.1336188937921,688.0652479417813,526.6695714798827,723.144665184133,668.8565458248477,418.8899986930734,416.2563561419868,515.3370779163255,452.88860012931093,512.7148456320353
3509,AEP_RS18495,283.5644724704386,426.3022123978696,369.6121544843013,392.15652357576187,373.4164146451296,341.3874945201658,294.5834908444968,305.6019466164073,356.44617700828945,367.88224118609526
3510,AEP_RS18500,89.8446462254428,249.35946718785638,210.79443185432808,149.10117823453444,164.48442807189878,118.70325019233631,106.76645754478119,146.64541436889152,176.4453295724832,172.17503846090764
3511,AEP_RS18505,329.92132384424895,205.5609659253523,221.16137112585238,138.03002035212444,190.7394920868265,140.42646125128843,152.55684925056008,185.5835709423712,223.71537915144123,228.22011187524635
3512,AEP_RS18510,206.5888871291619,71.67218218573117,0.0,161.33808366907002,79.62435597807641,66.14772343603245,52.02239026305162,63.37820085141829,88.10393097301623,93.05507416386597
3513,AEP_RS18515,162.12567739929526,257.1268404944598,507.1745728825938,253.2280072625441,337.43065893340844,110.24812532824507,113.5784098306673,116.08657356110481,139.5279763228022,122.71184999017387
3514,AEP_RS18520,79.86190775594916,142.4911241073465,83.2768125844259,46.776840230442176,169.29391427283142,100.1306328153041,85.41316603582494,114.17647834074278,107.62547790064845,137.14583919376483
3515,AEP_RS18525,215.62715094106272,224.42352046907075,337.2710909669249,178.92141388144134,218.1582940743078,48.256504976149785,47.282288341260234,55.875114088001,68.04927368528342,58.53589974956356
3516,AEP_RS18530,0.0,54.28233299327486,0.0,80.1888689664723,52.76693431880461,138.06030109833634,145.6478477526992,122.33194107936725,224.20352719990416,177.8445208146646
3517,AEP_RS18550,224.44461807991655,209.7638853030082,217.32461871474712,244.1438055150216,210.08693923955292,479.4743164737343,510.02954801211655,364.2399438219643,584.8422456585092,567.5153403229062
3518,AEP_RS18555,87.2984416765436,62.303811350580666,91.0313335943117,71.58560974537305,60.564477244457926,49.85477661552375,43.274686782754564,35.778378233091054,42.74021566402526,43.956783017815916
3519,AEP_RS18560,396.8597870080909,157.3521615909348,234.50341703221775,103.31081277889069,152.95936481984774,56.28558271296057,46.41206217547016,55.161948891616525,58.10873146728728,64.90688270344698
3520,AEP_RS18565,81.36873620417462,177.44177719028056,282.826910664088,158.86474040527534,151.58048584977362,71.88928452156587,54.48638624028365,54.77239550591293,79.46600547644009,88.35607509368084
3521,AEP_RS18570,139.11429092971787,147.08761198177703,314.3028087863816,172.01805762162607,232.3447269198977,213.68147947723787,187.62031863476133,256.62084285133074,274.49111268576974,426.6989681465597
3522,AEP_RS18575,0.0,122.13524923486844,45.88722326080611,85.91664532122034,33.92160063351725,15.899610687986405,19.42340218890479,51.90369500081725,36.03270972855603,39.6433606769531
3523,AEP_RS18580,0.0,97.70819938789475,64.24211256512855,60.141651724854235,83.10792155211726,53.32302271030664,52.64240029146761,46.60846955123893,44.9282849427933,52.77522390119382
3524,AEP_RS18585,39.383954509783145,93.69279393359771,174.53907295092003,65.35942059596029,117.64135014226643,27.23836392448131,18.386395819844896,21.466741989406778,16.20820661638862,18.690305889933367
3525,AEP_RS18590,67.3834846690821,59.159261348139395,65.24589557395869,37.588532328033885,81.62385152440086,13.470915491943705,8.824574552170688,18.808535940952716,34.27916477269042,27.641952659516125
3526,AEP_RS18595,84.01057828872574,99.92884028307417,58.40192051375323,76.54392037708719,53.966182826050165,26.65396065808304,17.748190345106476,27.024237892987497,49.800890008359396,71.6283448594948
3527,AEP_RS18600,86.8297252111662,137.7095427614624,256.53729514262744,67.81072140788933,83.66569283770194,66.56876970106859,30.299972610982955,44.655263592663,39.25207515312919,36.89958781130827
3528,AEP_RS18605,25.219549817668153,44.99719708653048,39.44691122420175,39.391023351951304,72.90168557203268,45.96829051486965,23.690201440178676,29.44551283524419,31.83591751358288,35.49935440735931
3529,AEP_RS18610,0.0,63.329388492154,66.62145006754072,99.79059249160998,49.24913869755096,40.655190269955725,33.98449780896314,33.49176697995121,47.4097041891464,48.04922141308482
3530,AEP_RS18615,88.13956534817162,39.93911799797157,65.64887415414597,46.70855287244153,53.38319048603152,14.327144560679066,14.107868091840112,12.751095756301929,19.76100431342221,23.142173504666598
3531,AEP_RS18620,0.0,43.84342280226046,57.65317794306409,21.589310875588694,21.309723474901862,40.84733507403472,39.42146124730382,77.06912288000137,101.39011671750472,134.3045904985238
3532,AEP_RS18625,162.73747240834925,78.35091460350051,48.4846132567008,72.62388132812586,89.60422808853615,24.94864284805977,18.68104671095439,17.31112373764631,30.239715122038962,27.582055187974444
3533,AEP_RS18630,86.03577094905245,51.16888247246357,100.92900477813214,46.193587858491526,33.16026795096948,21.6902717436289,21.54347045007626,25.36938708269372,33.29768328874823,42.21375313979794
3534,AEP_RS18635,0.0,114.50179615768914,240.90792211923207,75.17706465606777,133.56630249447417,13.289226843690127,9.369301376378754,15.138577708571697,10.673751905268873,13.782262110346975
3535,AEP_RS18640,175.1286505105078,26.038987146520174,22.827146596746186,102.57662426168031,59.06146709287521,26.915743708793716,19.57256016484458,23.733638518037647,26.88735192943013,24.29916650630501
3536,AEP_RS18645,515.7858760051998,90.89134826780906,59.76010471174749,262.94489591331615,127.00878376735528,13.830067471049611,12.485645533476069,12.460788416921593,16.008718421068735,12.561413702871766
3537,AEP_RS18650,105.18397606881109,27.803146167287125,36.56055186633333,54.76313002588353,33.78370794801515,20.420031491523858,23.6101434570573,17.335331162710336,68.48289902847682,75.15720461672359
3538,AEP_RS18655,23.123555060703776,9.168329701276987,36.16848160503216,31.602583748180773,35.64951058535861,24.253729688584595,28.656427976783856,21.626188189741228,36.487546211948214,38.77981562199266
3539,AEP_RS18660,109.1783042739558,129.86532830036646,113.84678176098731,42.63205691888401,21.039980139776524,52.399926098854124,49.42534020156235,47.47718118346076,42.37074174040911,53.568718383098016
3540,AEP_RS18665,183.51246888601085,137.43824736595124,138.20407194862173,147.29728412990303,133.6013868922925,134.97361897684092,134.19184343081986,161.79049909560572,156.7859439710766,141.1298954123091
3541,AEP_RS18670,362.93678871267986,385.14927605253064,244.8833003720247,345.9633628924783,349.711551085642,521.2485417619423,509.70035007799913,649.2374130402756,666.9265851548047,676.3289803114224
3542,AEP_RS18675,924.1163611759831,1832.0287385230263,2007.566017660267,3788.9240586658166,2315.149243237552,2738.8265948167623,2112.6685150085677,1958.840206533368,2038.1939792030348,2154.988309298747
3543,AEP_RS18680,5264.662906093479,11347.474974366867,9753.120725796789,13427.990603294724,15542.26065390245,13323.96005021341,16676.326421050228,11751.206260084018,11556.195013834264,11256.011475844887
